"EVENT","LEVEL","PLAYTIME_AVG","HINT_USED_SUM","RETRY_COUNT_SUM","SKIPPED_SUM","COUNT","COUNT %","USERS","EVENTS PER USER","ENGAGEMENT","TOTAL ACTIVE"
"level_completed","2","6.733955633768183","352","184399","96","182977","0.0159","182966","1","0.6957","263000"
"level_completed","3","6.775730664359789","505","183938","128","182642","0.0158","182627","1","0.6944","263000"
"level_completed","4","5.389265325428165","569","182841","129","181822","0.0158","181812","1","0.6912999999999999","263000"
"level_completed","10","13.246805981424698","0","219832","82","180024","0.015600000000000001","180017","1","0.6845","263000"
"level_completed","5","10.412928048394","1422","181816","274","179857","0.015600000000000001","179847","1","0.6838","263000"
"level_completed","1","6.594006588738941","155","181401","120","179397","0.0155","179379","1","0.682","263000"
"level_completed","11","6.414434876940808","790","178144","155","176988","0.015300000000000001","176982","1","0.6729","263000"
"level_completed","6","14.632696078708387","0","233468","418","176957","0.015300000000000001","176939","1","0.6728000000000001","263000"
"level_completed","7","10.052317419737733","0","205314","59","175238","0.0152","175231","1","0.6663","263000"
"level_completed","9","8.439753290882615","0","226451","108","175105","0.0152","175092","1","0.6657","263000"
"level_completed","12","6.761838683722614","498","173590","139","171514","0.0149","171507","1","0.6520999999999999","263000"
"level_completed","8","11.018560384209914","0","179125","109","170740","0.0148","170723","1","0.6491","263000"
"level_completed","13","11.18068450589473","665","166423","109","164469","0.0143","164455","1","0.6253","263000"
"level_completed","14","10.275060668855028","289","165095","33","163593","0.014199999999999999","163587","1","0.622","263000"
"level_completed","15","9.094542291802565","673","162562","127","160965","0.0139","160957","1","0.612","263000"
"level_completed","16","13.242165297120742","0","198416","136","155526","0.013500000000000002","155511","1","0.5913","263000"
"level_completed","17","11.858897061779007","0","203261","75","149274","0.0129","149265","1","0.5675","263000"
"level_completed","18","9.958372548090262","0","178011","46","147691","0.0128","147677","1","0.5615","263000"
"level_completed","19","24.118649566513877","0","146860","87","144872","0.0126","144854","1","0.5508","263000"
"level_completed","20","7.441453987381342","334","142233","197","140744","0.012199999999999999","140732","1","0.5351","263000"
"level_completed","21","14.457319509896324","1221","134775","266","132625","0.0115","132619","1","0.5043","263000"
"level_completed","22","11.784552876574233","245","132322","81","130937","0.0113","130924","1","0.4978","263000"
"level_completed","23","6.146011973433943","181","129798","52","128284","0.0111","128274","1","0.4877","263000"
"level_completed","24","9.06122593766258","154","128242","65","126858","0.011000000000000001","126847","1","0.48229999999999995","263000"
"level_completed","25","15.603461815055757","0","186461","89","120977","0.0105","120967","1","0.46","263000"
"level_completed","26","11.623035986877063","0","131210","65","118571","0.0103","118566","1","0.4508","263000"
"level_completed","27","12.45560780095083","0","148244","43","115268","0.01","115257","1","0.4382","263000"
"level_completed","28","10.987916536904395","220","135757","89","112385","0.0097","112375","1","0.42729999999999996","263000"
"level_completed","29","8.257639659637439","120","109254","34","108120","0.009399999999999999","108100","1","0.41100000000000003","263000"
"level_completed","30","6.029776933042086","161","211838","69","105753","0.0092","105737","1","0.402","263000"
"level_completed","31","11.524307733884124","248","104754","42","103609","0.009000000000000001","103598","1","0.39390000000000003","263000"
"level_completed","32","10.168142889229596","88","103278","24","102401","0.0089","102390","1","0.3893","263000"
"level_completed","33","11.548333282472258","1","108529","34","98307","0.0085","98298","1","0.3738","263000"
"level_completed","34","10.885179153094464","0","107544","37","97012","0.0084","96998","1","0.3688","263000"
"level_completed","35","11.25193900424108","0","109565","16","95023","0.008199999999999999","95013","1","0.3613","263000"
"level_completed","36","12.892354124748497","0","103630","28","93436","0.008100000000000001","93420","1","0.3552","263000"
"level_completed","37","15.081866879164172","491","92138","161","90354","0.0078000000000000005","90345","1","0.3435","263000"
"level_completed","38","7.231603032264027","85","87427","26","86536","0.0075","86520","1","0.32899999999999996","263000"
"level_completed","39","7.163180647642132","39","86351","14","85819","0.0074","85813","1","0.32630000000000003","263000"
"level_completed","40","9.286525274699343","40","85443","17","84729","0.0073","84721","1","0.3221","263000"
"level_completed","41","8.29761268166316","65","84896","31","84153","0.0073","84143","1","0.31989999999999996","263000"
"level_completed","42","14.584659464420817","0","82322","48","80623","0.006999999999999999","80616","1","0.3065","263000"
"level_completed","43","12.430282335513517","0","96844","42","79657","0.0069","79647","1","0.3028","263000"
"level_completed","44","13.012020306645692","0","92859","39","78201","0.0068000000000000005","78190","1","0.2973","263000"
"level_completed","45","12.924181815781484","0","103954","29","75747","0.0066","75736","1","0.28800000000000003","263000"
"level_completed","46","7.679237396685859","102","75361","45","74167","0.0064","74155","1","0.282","263000"
"level_completed","47","6.4388641131441124","21","72747","12","71979","0.0062","71967","1","0.2736","263000"
"level_completed","48","9.081272932543039","181","73030","58","70860","0.0060999999999999995","70853","1","0.26940000000000003","263000"
"level_completed","49","11.852038168819186","482","71141","92","69376","0.006","69368","1","0.2638","263000"
"level_completed","50","19.039663531748342","406","70474","104","68476","0.0059","68469","1","0.26030000000000003","263000"
"level_completed","51","13.346277831921434","0","81740","27","66695","0.0058","66685","1","0.2536","263000"
"level_completed","52","12.64693378679987","0","69780","20","65863","0.005699999999999999","65845","1","0.2504","263000"
"level_completed","53","12.102409824431483","0","71516","21","64818","0.005600000000000001","64804","1","0.2464","263000"
"level_completed","54","15.655986774777606","0","83517","23","63515","0.0055000000000000005","63508","1","0.2415","263000"
"level_completed","55","5.941296456907905","68","67831","23","62262","0.0054","62255","1","0.23670000000000002","263000"
"level_completed","56","8.456900120894948","98","61256","25","60383","0.0052","60371","1","0.22949999999999998","263000"
"level_completed","57","6.553264950388846","101","98061","37","59664","0.0052","59658","1","0.2268","263000"
"level_completed","58","8.73815278818002","31","59344","11","58748","0.0051","58738","1","0.22329999999999997","263000"
"level_completed","59","11.718395051121231","211","59369","66","58195","0.005","58188","1","0.2212","263000"
"level_completed","60","14.414772727272725","0","61996","30","56672","0.0049","56661","1","0.21539999999999998","263000"
"level_completed","61","13.358042809077237","0","62328","18","55876","0.0048","55869","1","0.21239999999999998","263000"
"level_completed","62","14.51962943414084","0","66855","21","54943","0.0048","54934","1","0.2089","263000"
"level_completed","63","16.890431471142826","0","64787","15","54094","0.004699999999999999","54087","1","0.2057","263000"
"level_completed","64","10.582274629136558","0","82411","15","52580","0.0046","52573","1","0.1999","263000"
"level_completed","65","13.348052655116764","135","52855","75","51429","0.0045000000000000005","51417","1","0.1955","263000"
"level_completed","66","10.610680465097696","412","51554","120","50054","0.0043","50051","1","0.19030000000000002","263000"
"level_completed","67","6.5933642597821684","43","50086","11","49580","0.0043","49575","1","0.1885","263000"
"level_completed","68","6.308468277143614","10","49358","5","48971","0.0042","48967","1","0.1862","263000"
"level_completed","69","6.3494394020288265","8","49094","2","48698","0.0042","48690","1","0.18510000000000001","263000"
"level_completed","70","11.322612330198538","0","68032","15","47850","0.0040999999999999995","47840","1","0.1819","263000"
"level_completed","71","11.72356460094096","0","56854","13","46973","0.0040999999999999995","46970","1","0.17859999999999998","263000"
"level_completed","72","11.744050311214492","0","51473","8","46431","0.004","46423","1","0.1765","263000"
"level_completed","73","12.03909550598691","0","64121","16","45683","0.004","45678","1","0.17370000000000002","263000"
"level_completed","74","8.722465181995569","0","71460","20","44589","0.0039000000000000003","44583","1","0.16949999999999998","263000"
"level_completed","75","5.517542062245295","51","71559","20","43923","0.0038","43920","1","0.16699999999999998","263000"
"level_completed","76","7.561793834565493","107","59435","35","43014","0.0037","43009","1","0.1635","263000"
"level_completed","77","6.151811926066839","9","42872","4","42579","0.0037","42571","1","0.16190000000000002","263000"
"level_completed","78","6.627098122076872","21","42526","7","42121","0.0037","42115","1","0.16010000000000002","263000"
"level_completed","79","7.844041709223059","11","42418","8","42101","0.0036","42094","1","0.16010000000000002","263000"
"level_completed","80","19.58432957561297","0","47721","22","41071","0.0036","41067","1","0.1561","263000"
"level_completed","81","14.528653755781455","0","51076","16","40431","0.0034999999999999996","40418","1","0.1537","263000"
"level_completed","82","11.318563175081636","0","53962","8","39810","0.0034000000000000002","39800","1","0.15130000000000002","263000"
"level_completed","83","10.483016287139996","0","45524","7","39479","0.0034000000000000002","39471","1","0.1501","263000"
"level_completed","84","12.505422770496018","0","42802","12","38910","0.0034000000000000002","38903","1","0.1479","263000"
"level_completed","85","12.751231527093598","0","57097","6","38164","0.0033","38151","1","0.1451","263000"
"level_completed","86","7.153334757302289","91","66203","27","37454","0.0032","37445","1","0.1424","263000"
"level_completed","87","6.959230790124128","17","40602","6","36817","0.0032","36813","1","0.14","263000"
"level_completed","88","8.77873745014441","46","50933","25","36355","0.0032","36351","1","0.1382","263000"
