"EVENT","CATEGORY","LEVEL","PLAY_TIME_AVG","HINT_USED_SUM","ATTEMPT_SUM","RETRY_SUM","SKIPPED_SUM","COUNT","COUNT %","USERS","EVENTS PER USER","ENGAGEMENT","TOTAL ACTIVE"
"levelUp","DETECTIVE_CASES","89","14.393939393939394","1","4","33","0","33","0.0021","33","1","0.045599999999999995","723"
"levelUp","DETECTIVE_CASES","90","10.15625","0","1","32","0","32","0.0021","32","1","0.0443","723"
"levelUp","EASY","5","14","0","102","31","0","31","0.002","31","1","0.0429","723"
"levelUp","DETECTIVE_CASES","94","14.064516129032258","0","0","31","0","31","0.002","31","1","0.0429","723"
"levelUp","DETECTIVE_CASES","92","10.76666666666667","0","0","30","0","30","0.0019","30","1","0.0415","723"
"levelUp","DETECTIVE_CASES","93","10.700000000000001","0","2","30","0","30","0.0019","30","1","0.0415","723"
"levelUp","DETECTIVE_CASES","91","19.6","1","0","30","0","30","0.0019","30","1","0.0415","723"
"levelUp","EASY","2","6.166666666666666","0","11","30","1","30","0.0019","30","1","0.0415","723"
"levelUp","EASY","4","15.17241379310345","0","0","29","0","29","0.0019","29","1","0.0401","723"
"levelUp","EASY","3","7.724137931034482","0","4","29","0","29","0.0019","29","1","0.0401","723"
"levelUp","MR_BULLET","3","8.965517241379308","0","0","31","0","29","0.0019","29","1","0.0401","723"
"levelUp","MR_BULLET","4","11.75","0","0","28","0","28","0.0018","28","1","0.0387","723"
"levelUp","MR_BULLET","6","9.92857142857143","0","8","34","0","28","0.0018","28","1","0.0387","723"
"levelUp","EASY","12","13.571428571428573","0","0","28","0","28","0.0018","28","1","0.0387","723"
"levelUp","EASY","16","19.071428571428573","0","22","50","1","28","0.0018","28","1","0.0387","723"
"levelUp","MR_BULLET","5","10.892857142857144","0","0","28","0","28","0.0018","28","1","0.0387","723"
"levelUp","DETECTIVE_CASES","83","14.464285714285714","0","0","28","0","28","0.0018","28","1","0.0387","723"
"levelUp","EASY","7","13.037037037037038","1","0","27","1","27","0.0017000000000000001","27","1","0.0373","723"
"levelUp","DETECTIVE_CASES","82","25.888888888888886","0","6","29","0","27","0.0017000000000000001","27","1","0.0373","723"
"levelUp","EASY","10","16.11111111111111","0","140","28","0","27","0.0017000000000000001","27","1","0.0373","723"
"levelUp","EASY","11","12.148148148148145","0","66","27","0","27","0.0017000000000000001","27","1","0.0373","723"
"levelUp","EASY","8","9.111111111111112","0","0","27","0","27","0.0017000000000000001","27","1","0.0373","723"
"levelUp","EASY","9","10.111111111111112","0","0","28","0","27","0.0017000000000000001","27","1","0.0373","723"
"levelUp","EASY","15","12.777777777777777","1","69","27","1","27","0.0017000000000000001","27","1","0.0373","723"
"levelUp","EASY","14","9.962962962962964","0","0","27","0","27","0.0017000000000000001","27","1","0.0373","723"
"levelUp","DETECTIVE_CASES","88","19.259259259259256","0","1","29","0","27","0.0017000000000000001","27","1","0.0373","723"
"levelUp","EASY","6","12.692307692307692","0","7","26","0","26","0.0017000000000000001","26","1","0.036000000000000004","723"
"levelUp","DETECTIVE_CASES","87","10.538461538461538","0","16","26","0","26","0.0017000000000000001","26","1","0.036000000000000004","723"
"levelUp","EASY","13","25.346153846153843","1","41","87","1","26","0.0017000000000000001","26","1","0.036000000000000004","723"
"levelUp","DETECTIVE_CASES","86","11.807692307692308","0","0","26","0","26","0.0017000000000000001","26","1","0.036000000000000004","723"
"levelUp","MR_BULLET","7","10.384615384615385","0","22","37","0","26","0.0017000000000000001","26","1","0.036000000000000004","723"
"levelUp","DETECTIVE_CASES","84","16.44","0","6","25","0","25","0.0016","25","1","0.0346","723"
"levelUp","EASY","18","10.84","1","0","25","0","25","0.0016","25","1","0.0346","723"
"levelUp","MR_BULLET","2","59.519999999999996","0","0","25","0","25","0.0016","25","1","0.0346","723"
"levelUp","DETECTIVE_CASES","85","18.240000000000002","0","0","25","0","25","0.0016","25","1","0.0346","723"
"levelUp","EASY","17","16.52","3","22","28","1","25","0.0016","25","1","0.0346","723"
"levelUp","DRAW_TO_SAVE","8","12.125","0","4","28","0","24","0.0015","24","1","0.0332","723"
"levelUp","DRAW_TO_SAVE","14","13.708333333333334","0","7","31","0","24","0.0015","24","1","0.0332","723"
"levelUp","DRAW_TO_SAVE","10","13.750000000000002","0","8","32","0","24","0.0015","24","1","0.0332","723"
"levelUp","EASY","20","18.666666666666664","1","0","25","0","24","0.0015","24","1","0.0332","723"
"levelUp","DETECTIVE_CASES","35","20.608695652173914","1","5","23","0","23","0.0015","23","1","0.0318","723"
"levelUp","EASY","22","15.869565217391305","0","13","37","0","23","0.0015","23","1","0.0318","723"
"levelUp","EASY","19","22.47826086956522","0","13","23","0","23","0.0015","23","1","0.0318","723"
"levelUp","DRAW_TO_SAVE","5","14.608695652173914","1","9","32","0","23","0.0015","23","1","0.0318","723"
"levelUp","EASY","27","12.869565217391301","0","2","25","0","23","0.0015","23","1","0.0318","723"
"levelUp","EASY","39","11.782608695652172","0","0","23","0","23","0.0015","23","1","0.0318","723"
"levelUp","DRAW_TO_SAVE","4","9.869565217391305","0","1","24","0","23","0.0015","23","1","0.0318","723"
"levelUp","MR_BULLET","8","9.521739130434785","0","9","30","0","23","0.0015","23","1","0.0318","723"
"levelUp","DETECTIVE_CASES","36","17.608695652173914","0","0","23","0","23","0.0015","23","1","0.0318","723"
"levelUp","EASY","41","25.304347826086953","0","247","23","0","23","0.0015","23","1","0.0318","723"
"levelUp","EASY","26","11.73913043478261","0","3","23","0","23","0.0015","23","1","0.0318","723"
"levelUp","DETECTIVE_CASES","40","24.695652173913047","0","10","23","0","23","0.0015","23","1","0.0318","723"
"levelUp","MR_BULLET","10","9.772727272727272","0","0","23","0","22","0.0014000000000000002","22","1","0.0304","723"
"levelUp","TRICKY","17","20.636363636363637","1","0","29","0","22","0.0014000000000000002","22","1","0.0304","723"
"levelUp","DRAW_TO_SAVE","15","10.363636363636363","0","0","22","0","22","0.0014000000000000002","22","1","0.0304","723"
"levelUp","DETECTIVE_CASES","42","14.772727272727273","0","1","22","0","22","0.0014000000000000002","22","1","0.0304","723"
"levelUp","EASY","30","16.454545454545453","1","123","23","0","22","0.0014000000000000002","22","1","0.0304","723"
"levelUp","EASY","31","24.454545454545453","0","94","22","0","22","0.0014000000000000002","22","1","0.0304","723"
"levelUp","EASY","29","17.363636363636367","0","33","22","0","22","0.0014000000000000002","22","1","0.0304","723"
"levelUp","EASY","21","6.818181818181817","0","0","23","0","22","0.0014000000000000002","22","1","0.0304","723"
"levelUp","DRAW_TO_SAVE","1","9.136363636363635","0","1","23","0","22","0.0014000000000000002","22","1","0.0304","723"
"levelUp","EASY","28","8.22727272727273","0","0","22","0","22","0.0014000000000000002","22","1","0.0304","723"
"levelUp","EASY","25","8.59090909090909","0","47","22","0","22","0.0014000000000000002","22","1","0.0304","723"
"levelUp","TRICKY","4","15.727272727272727","0","9","22","0","22","0.0014000000000000002","22","1","0.0304","723"
"levelUp","DRAW_TO_SAVE","16","13.590909090909092","0","0","22","0","22","0.0014000000000000002","22","1","0.0304","723"
"levelUp","MR_BULLET","9","12.363636363636363","0","16","38","0","22","0.0014000000000000002","22","1","0.0304","723"
"levelUp","DRAW_TO_SAVE","13","11.363636363636365","0","3","25","0","22","0.0014000000000000002","22","1","0.0304","723"
"levelUp","EASY","33","17.09090909090909","0","0","22","0","22","0.0014000000000000002","22","1","0.0304","723"
"levelUp","EASY","1","6.363636363636364","1","2","22","0","22","0.0014000000000000002","22","1","0.0304","723"
"levelUp","EASY","24","21.636363636363637","1","0","22","0","22","0.0014000000000000002","22","1","0.0304","723"
