"EVENT","CATEGORY","LEVEL","COUNT","COUNT %","USERS","EVENTS PER USER","ENGAGEMENT","TOTAL ACTIVE"
"levelStarted","DETECTIVE_CASES","90","31","0.0021","31","1","0.0429","723"
"levelStarted","EASY","3","30","0.002","30","1","0.0415","723"
"levelStarted","DETECTIVE_CASES","91","29","0.0019","29","1","0.0401","723"
"levelStarted","EASY","5","28","0.0019","28","1","0.0387","723"
"levelStarted","DETECTIVE_CASES","94","28","0.0019","28","1","0.0387","723"
"levelStarted","DETECTIVE_CASES","93","28","0.0019","28","1","0.0387","723"
"levelStarted","DETECTIVE_CASES","92","28","0.0019","28","1","0.0387","723"
"levelStarted","EASY","4","28","0.0019","28","1","0.0387","723"
"levelStarted","DETECTIVE_CASES","83","28","0.0019","28","1","0.0387","723"
"levelStarted","DETECTIVE_CASES","89","27","0.0018","27","1","0.0373","723"
"levelStarted","EASY","12","27","0.0018","27","1","0.0373","723"
"levelStarted","DETECTIVE_CASES","84","27","0.0018","27","1","0.0373","723"
"levelStarted","MR_BULLET","3","27","0.0018","27","1","0.0373","723"
"levelStarted","EASY","6","27","0.0018","27","1","0.0373","723"
"levelStarted","MR_BULLET","4","27","0.0018","27","1","0.0373","723"
"levelStarted","EASY","13","26","0.0017000000000000001","26","1","0.036000000000000004","723"
"levelStarted","MR_BULLET","8","26","0.0017000000000000001","26","1","0.036000000000000004","723"
"levelStarted","EASY","16","26","0.0017000000000000001","26","1","0.036000000000000004","723"
"levelStarted","EASY","9","26","0.0017000000000000001","26","1","0.036000000000000004","723"
"levelStarted","EASY","10","26","0.0017000000000000001","26","1","0.036000000000000004","723"
"levelStarted","EASY","14","26","0.0017000000000000001","26","1","0.036000000000000004","723"
"levelStarted","EASY","8","26","0.0017000000000000001","26","1","0.036000000000000004","723"
"levelStarted","MR_BULLET","7","26","0.0017000000000000001","26","1","0.036000000000000004","723"
"levelStarted","EASY","11","26","0.0017000000000000001","26","1","0.036000000000000004","723"
"levelStarted","MR_BULLET","5","25","0.0017000000000000001","25","1","0.0346","723"
"levelStarted","MR_BULLET","6","25","0.0017000000000000001","25","1","0.0346","723"
"levelStarted","EASY","17","25","0.0017000000000000001","25","1","0.0346","723"
"levelStarted","EASY","7","25","0.0017000000000000001","25","1","0.0346","723"
"levelStarted","EASY","15","24","0.0016","24","1","0.0332","723"
"levelStarted","EASY","18","24","0.0016","24","1","0.0332","723"
"levelStarted","DETECTIVE_CASES","88","24","0.0016","24","1","0.0332","723"
"levelStarted","DRAW_TO_SAVE","15","24","0.0016","24","1","0.0332","723"
"levelStarted","EASY","2","24","0.0016","24","1","0.0332","723"
"levelStarted","DETECTIVE_CASES","86","23","0.0015","23","1","0.0318","723"
"levelStarted","DETECTIVE_CASES","41","23","0.0015","23","1","0.0318","723"
"levelStarted","EASY","1","23","0.0015","23","1","0.0318","723"
"levelStarted","DRAW_TO_SAVE","5","23","0.0015","23","1","0.0318","723"
"levelStarted","EASY","19","23","0.0015","23","1","0.0318","723"
"levelStarted","DRAW_TO_SAVE","14","23","0.0015","23","1","0.0318","723"
"levelStarted","DRAW_TO_SAVE","12","23","0.0015","23","1","0.0318","723"
"levelStarted","DETECTIVE_CASES","87","23","0.0015","23","1","0.0318","723"
"levelStarted","EASY","40","23","0.0015","23","1","0.0318","723"
"levelStarted","EASY","45","22","0.0015","22","1","0.0304","723"
"levelStarted","TRICKY","18","22","0.0015","22","1","0.0304","723"
"levelStarted","DRAW_TO_SAVE","4","22","0.0015","22","1","0.0304","723"
"levelStarted","DETECTIVE_CASES","40","22","0.0015","22","1","0.0304","723"
"levelStarted","EASY","35","22","0.0015","22","1","0.0304","723"
"levelStarted","DRAW_TO_SAVE","10","22","0.0015","22","1","0.0304","723"
"levelStarted","DETECTIVE_CASES","39","22","0.0015","22","1","0.0304","723"
"levelStarted","EASY","28","22","0.0015","22","1","0.0304","723"
"levelStarted","MR_BULLET","11","22","0.0015","22","1","0.0304","723"
"levelStarted","EASY","33","22","0.0015","22","1","0.0304","723"
"levelStarted","DRAW_TO_SAVE","20","22","0.0015","22","1","0.0304","723"
"levelStarted","EASY","21","22","0.0015","22","1","0.0304","723"
"levelStarted","EASY","34","22","0.0015","22","1","0.0304","723"
"levelStarted","DRAW_TO_SAVE","9","22","0.0015","22","1","0.0304","723"
"levelStarted","DETECTIVE_CASES","85","22","0.0015","22","1","0.0304","723"
"levelStarted","DRAW_TO_SAVE","1","22","0.0015","22","1","0.0304","723"
"levelStarted","DRAW_TO_SAVE","16","22","0.0015","22","1","0.0304","723"
"levelStarted","MR_BULLET","10","22","0.0015","22","1","0.0304","723"
"levelStarted","DRAW_TO_SAVE","2","22","0.0015","22","1","0.0304","723"
"levelStarted","DETECTIVE_CASES","43","22","0.0015","22","1","0.0304","723"
"levelStarted","DRAW_TO_SAVE","18","22","0.0015","22","1","0.0304","723"
"levelStarted","DETECTIVE_CASES","34","22","0.0015","22","1","0.0304","723"
"levelStarted","DETECTIVE_CASES","50","21","0.0014000000000000002","21","1","0.028999999999999998","723"
"levelStarted","EASY","23","21","0.0014000000000000002","21","1","0.028999999999999998","723"
"levelStarted","EASY","41","21","0.0014000000000000002","21","1","0.028999999999999998","723"
"levelStarted","MR_BULLET","9","21","0.0014000000000000002","21","1","0.028999999999999998","723"
"levelStarted","DRAW_TO_SAVE","13","21","0.0014000000000000002","21","1","0.028999999999999998","723"
"levelStarted","EASY","32","21","0.0014000000000000002","21","1","0.028999999999999998","723"
"levelStarted","DETECTIVE_CASES","82","21","0.0014000000000000002","21","1","0.028999999999999998","723"
"levelStarted","CAR_PARK","3","21","0.0014000000000000002","21","1","0.028999999999999998","723"
"levelStarted","EASY","37","21","0.0014000000000000002","21","1","0.028999999999999998","723"
"levelStarted","EASY","27","21","0.0014000000000000002","21","1","0.028999999999999998","723"
"levelStarted","EASY","24","21","0.0014000000000000002","21","1","0.028999999999999998","723"
"levelStarted","EASY","29","21","0.0014000000000000002","21","1","0.028999999999999998","723"
"levelStarted","EASY","46","21","0.0014000000000000002","21","1","0.028999999999999998","723"
"levelStarted","DRAW_TO_SAVE","19","21","0.0014000000000000002","21","1","0.028999999999999998","723"
"levelStarted","EASY","43","21","0.0014000000000000002","21","1","0.028999999999999998","723"
"levelStarted","REMEMBER_FACE","1","21","0.0014000000000000002","21","1","0.028999999999999998","723"
"levelStarted","EASY","44","21","0.0014000000000000002","21","1","0.028999999999999998","723"
"levelStarted","DRAW_TO_SAVE","7","21","0.0014000000000000002","21","1","0.028999999999999998","723"
"levelStarted","EASY","39","21","0.0014000000000000002","21","1","0.028999999999999998","723"
"levelStarted","TRICKY","5","21","0.0014000000000000002","21","1","0.028999999999999998","723"
"levelStarted","CAR_PARK","4","21","0.0014000000000000002","21","1","0.028999999999999998","723"
"levelStarted","DETECTIVE_CASES","38","21","0.0014000000000000002","21","1","0.028999999999999998","723"
"levelStarted","CAR_PARK","2","21","0.0014000000000000002","21","1","0.028999999999999998","723"
"levelStarted","DETECTIVE_CASES","44","21","0.0014000000000000002","21","1","0.028999999999999998","723"
"levelStarted","DRAW_TO_SAVE","6","21","0.0014000000000000002","21","1","0.028999999999999998","723"
"levelStarted","MR_BULLET","1","21","0.0014000000000000002","21","1","0.028999999999999998","723"
"levelStarted","DRAW_TO_SAVE","17","21","0.0014000000000000002","21","1","0.028999999999999998","723"
"levelStarted","EASY","22","20","0.0013","20","1","0.0277","723"
"levelStarted","CUT_TO_SAVE","8","20","0.0013","20","1","0.0277","723"
"levelStarted","EASY","36","20","0.0013","20","1","0.0277","723"
"levelStarted","MR_BULLET","12","20","0.0013","20","1","0.0277","723"
"levelStarted","DETECTIVE_CASES","36","20","0.0013","20","1","0.0277","723"
"levelStarted","DRAW_TO_SAVE","11","20","0.0013","20","1","0.0277","723"
"levelStarted","DETECTIVE_CASES","47","20","0.0013","20","1","0.0277","723"
"levelStarted","EASY","42","20","0.0013","20","1","0.0277","723"
"levelStarted","DETECTIVE_CASES","48","20","0.0013","20","1","0.0277","723"
"levelStarted","DETECTIVE_CASES","33","20","0.0013","20","1","0.0277","723"
"levelStarted","TRICKY","10","20","0.0013","20","1","0.0277","723"
"levelStarted","CUT_TO_SAVE","10","20","0.0013","20","1","0.0277","723"
"levelStarted","DRAW_TO_SAVE","21","20","0.0013","20","1","0.0277","723"
"levelStarted","DRAW_TO_SAVE","8","20","0.0013","20","1","0.0277","723"
"levelStarted","TRICKY","21","20","0.0013","20","1","0.0277","723"
"levelStarted","EASY","20","20","0.0013","20","1","0.0277","723"
"levelStarted","CAR_PARK","1","20","0.0013","20","1","0.0277","723"
"levelStarted","TRICKY","16","20","0.0013","20","1","0.0277","723"
"levelStarted","MR_BULLET","2","20","0.0013","20","1","0.0277","723"
"levelStarted","TRICKY","7","20","0.0013","20","1","0.0277","723"
"levelStarted","TRICKY","6","20","0.0013","20","1","0.0277","723"
"levelStarted","TRICKY","17","20","0.0013","20","1","0.0277","723"
"levelStarted","DETECTIVE_CASES","24","20","0.0013","20","1","0.0277","723"
"levelStarted","DETECTIVE_CASES","22","20","0.0013","20","1","0.0277","723"
"levelStarted","DRAW_TO_SAVE","3","20","0.0013","20","1","0.0277","723"
"levelStarted","MR_BULLET","17","20","0.0013","20","1","0.0277","723"
"levelStarted","TRICKY","11","19","0.0013","19","1","0.0263","723"
"levelStarted","DETECTIVE_CASES","42","19","0.0013","19","1","0.0263","723"
"levelStarted","CUT_TO_SAVE","12","19","0.0013","19","1","0.0263","723"
"levelStarted","DETECTIVE_CASES","35","19","0.0013","19","1","0.0263","723"
"levelStarted","TRICKY","9","19","0.0013","19","1","0.0263","723"
"levelStarted","EASY","30","19","0.0013","19","1","0.0263","723"
"levelStarted","TRICKY","3","19","0.0013","19","1","0.0263","723"
"levelStarted","EASY","47","19","0.0013","19","1","0.0263","723"
"levelStarted","EASY","31","19","0.0013","19","1","0.0263","723"
"levelStarted","DETECTIVE_CASES","19","19","0.0013","19","1","0.0263","723"
"levelStarted","EASY","48","19","0.0013","19","1","0.0263","723"
"levelStarted","CUT_TO_SAVE","7","19","0.0013","19","1","0.0263","723"
"levelStarted","EASY","26","19","0.0013","19","1","0.0263","723"
"levelStarted","TRICKY","22","19","0.0013","19","1","0.0263","723"
"levelStarted","DETECTIVE_CASES","37","19","0.0013","19","1","0.0263","723"
"levelStarted","EASY","38","19","0.0013","19","1","0.0263","723"
"levelStarted","MR_BULLET","16","19","0.0013","19","1","0.0263","723"
"levelStarted","CUT_TO_SAVE","13","19","0.0013","19","1","0.0263","723"
"levelStarted","DETECTIVE_CASES","45","19","0.0013","19","1","0.0263","723"
