"EVENT","LEVEL","COUNT","EVENT AMOUNT","AMOUNT %","USERS","EVENTS PER USER"
"A - level_started","61","40810","40810","0.0048","40808","1"
"A - level_started","123","17405","17405","0.0021","17403","1"
"A - level_started","513","828","828","0.0001","828","1"
"A - level_started","2","127939","127939","0.0151","127923","1"
"A - level_started","56","43841","43841","0.0052","43839","1"
"A - level_started","9","120460","120460","0.0143","120450","1"
"A - level_started","329","2615","2615","0.0003","2615","1"
"A - level_started","265","4233","4233","0.0005","4233","1"
"A - level_started","3","130138","130138","0.0154","130119","1"
"A - level_started","93","25595","25595","0.003","25593","1"
"A - level_started","342","2377","2377","0.0003","2377","1"
"A - level_started","46","54736","54736","0.006500000000000001","54733","1"
"A - level_started","63","39868","39868","0.004699999999999999","39862","1"
"A - level_started","67","36166","36166","0.0043","36162","1"
"A - level_started","415","1468","1468","0.0002","1468","1"
"A - level_started","317","2855","2855","0.0003","2853","1"
"A - level_started","86","28567","28567","0.0034000000000000002","28561","1"
"A - level_started","218","6361","6361","0.0008","6361","1"
"A - level_started","225","6074","6074","0.0007000000000000001","6072","1"
"A - level_started","257","4586","4586","0.0005","4586","1"
"A - level_started","296","3179","3179","0.0004","3179","1"
"A - level_started","152","12713","12713","0.0015","12712","1"
"A - level_started","142","14343","14343","0.0017000000000000001","14342","1"
"A - level_started","143","14207","14207","0.0017000000000000001","14206","1"
"A - level_started","219","6326","6326","0.0007000000000000001","6326","1"
"A - level_started","400","1656","1656","0.0002","1656","1"
"A - level_started","197","7970","7970","0.0009","7969","1"
"A - level_started","227","5953","5953","0.0007000000000000001","5952","1"
"A - level_started","240","5410","5410","0.0006","5410","1"
"A - level_started","250","4913","4913","0.0006","4913","1"
"A - level_started","153","12165","12165","0.0014000000000000002","12163","1"
"A - level_started","181","9555","9555","0.0011","9555","1"
"A - level_started","116","18556","18556","0.0022","18555","1"
"A - level_started","229","5762","5762","0.0007000000000000001","5762","1"
"A - level_started","318","2835","2835","0.0003","2835","1"
"A - level_started","146","13652","13652","0.0016","13648","1"
"A - level_started","311","2896","2896","0.0003","2896","1"
"A - level_started","252","4758","4758","0.0006","4758","1"
"A - level_started","377","1909","1909","0.0002","1908","1"
"A - level_started","322","2746","2746","0.0003","2746","1"
"A - level_started","269","4014","4014","0.0005","4014","1"
"A - level_started","516","834","834","0.0001","834","1"
"A - level_started","174","9874","9874","0.0012","9874","1"
"A - level_started","259","4542","4542","0.0005","4542","1"
"A - level_started","425","1356","1356","0.0002","1356","1"
"A - level_started","336","2517","2517","0.0003","2517","1"
"A - level_started","320","2772","2772","0.0003","2772","1"
"A - level_started","355","2208","2208","0.0003","2208","1"
"A - level_started","545","731","731","0.0001","731","1"
"A - level_started","438","1277","1277","0.0002","1277","1"
"A - level_started","418","1491","1491","0.0002","1491","1"
"A - level_started","391","1706","1706","0.0002","1705","1"
"A - level_started","755","291","291","0","291","1"
"A - level_started","562","664","664","0.0001","664","1"
"A - level_started","610","519","519","0.0001","519","1"
"A - level_started","337","2405","2405","0.0003","2405","1"
"A - level_started","523","819","819","0.0001","818","1"
"A - level_started","628","498","498","0.0001","498","1"
"A - level_started","498","874","874","0.0001","874","1"
"A - level_started","577","640","640","0.0001","640","1"
"A - level_started","622","496","496","0.0001","496","1"
"A - level_started","676","446","446","0.0001","446","1"
"A - level_started","572","655","655","0.0001","655","1"
"A - level_started","705","406","406","0","406","1"
"A - level_started","307","2967","2967","0.0004","2967","1"
"A - level_started","675","436","436","0.0001","436","1"
"A - level_started","535","726","726","0.0001","726","1"
"A - level_started","648","445","445","0.0001","445","1"
"A - level_started","726","352","352","0","352","1"
"A - level_started","708","388","388","0","388","1"
"A - level_started","620","515","515","0.0001","514","1"
"A - level_started","626","485","485","0.0001","485","1"
"A - level_started","693","406","406","0","406","1"
"A - level_started","731","339","339","0","339","1"
"A - level_started","691","410","410","0","410","1"
"A - level_started","212","6903","6903","0.0008","6903","1"
"A - level_started","496","891","891","0.0001","891","1"
"A - level_started","461","1083","1083","0.0001","1083","1"
"A - level_started","467","1089","1089","0.0001","1089","1"
"A - level_started","598","560","560","0.0001","560","1"
"A - level_started","703","393","393","0","392","1"
"A - level_started","384","1851","1851","0.0002","1851","1"
"A - level_started","719","374","374","0","374","1"
"A - level_started","175","9856","9856","0.0012","9854","1"
"A - level_started","448","1208","1208","0.0001","1207","1"
"A - level_started","360","2142","2142","0.0003","2142","1"
"A - level_started","374","1929","1929","0.0002","1929","1"
"A - level_started","707","398","398","0","398","1"
"A - level_started","99","23784","23784","0.0028000000000000004","23782","1"
"A - level_started","367","2081","2081","0.0002","2081","1"
"A - level_started","517","807","807","0.0001","807","1"
"A - level_started","639","439","439","0.0001","439","1"
"A - level_started","480","984","984","0.0001","984","1"
"A - level_started","198","7995","7995","0.0009","7994","1"
"A - level_started","31","75156","75156","0.0089","75152","1"
"A - level_started","301","3100","3100","0.0004","3100","1"
"A - level_started","393","1640","1640","0.0002","1640","1"
"A - level_started","165","10934","10934","0.0013","10931","1"
"A - level_started","102","22208","22208","0.0026","22207","1"
"A - level_started","79","30796","30796","0.0036","30795","1"
"A - level_started","725","352","352","0","352","1"
"A - level_started","55","46263","46263","0.0055000000000000005","46260","1"
"A - level_started","449","1165","1165","0.0001","1165","1"
"A - level_started","680","422","422","0","422","1"
"A - level_started","684","431","431","0.0001","431","1"
"A - level_started","713","381","381","0","381","1"
"A - level_started","33","71659","71659","0.0085","71653","1"
"A - level_started","243","5393","5393","0.0006","5393","1"
"A - level_started","15","118087","118087","0.013999999999999999","118074","1"
"A - level_started","699","390","390","0","390","1"
"A - level_started","69","35622","35622","0.0042","35621","1"
"A - level_started","482","975","975","0.0001","975","1"
"A - level_started","119","18266","18266","0.0022","18265","1"
"A - level_started","6","126993","126993","0.015","126978","1"
"A - level_started","147","13203","13203","0.0016","13202","1"
"A - level_started","8","122323","122323","0.014499999999999999","122318","1"
"A - level_started","549","697","697","0.0001","697","1"
"A - level_started","518","828","828","0.0001","828","1"
"A - level_started","10","131649","131649","0.015600000000000001","131637","1"
"A - level_started","14","118660","118660","0.013999999999999999","118654","1"
"A - level_started","114","19257","19257","0.0023","19254","1"
"A - level_started","13","119232","119232","0.0141","119225","1"
"A - level_started","134","15682","15682","0.0019","15682","1"
"A - level_started","237","5556","5556","0.0007000000000000001","5556","1"
"A - level_started","236","5588","5588","0.0007000000000000001","5588","1"
"A - level_started","432","1240","1240","0.0001","1240","1"
"A - level_started","185","9013","9013","0.0011","9012","1"
"A - level_started","120","18499","18499","0.0022","18495","1"
"A - level_started","135","15880","15880","0.0019","15878","1"
"A - level_started","381","1900","1900","0.0002","1899","1"
"A - level_started","289","3333","3333","0.0004","3333","1"
"A - level_started","299","3117","3117","0.0004","3117","1"
"A - level_started","353","2247","2247","0.0003","2247","1"
"A - level_started","188","8738","8738","0.001","8736","1"
"A - level_started","192","8480","8480","0.001","8478","1"
"A - level_started","162","11134","11134","0.0013","11134","1"
"A - level_started","552","681","681","0.0001","681","1"
"A - level_started","258","4570","4570","0.0005","4570","1"
"A - level_started","460","1078","1078","0.0001","1078","1"
"A - level_started","350","2267","2267","0.0003","2267","1"
"A - level_started","490","971","971","0.0001","971","1"
"A - level_started","368","2030","2030","0.0002","2029","1"
"A - level_started","271","3897","3897","0.0005","3895","1"
"A - level_started","339","2529","2529","0.0003","2529","1"
"A - level_started","333","2547","2547","0.0003","2547","1"
"A - level_started","413","1492","1492","0.0002","1492","1"
"A - level_started","491","924","924","0.0001","923","1"
"A - level_started","537","733","733","0.0001","733","1"
"A - level_started","410","1521","1521","0.0002","1521","1"
"A - level_started","446","1176","1176","0.0001","1176","1"
"A - level_started","753","304","304","0","304","1"
"A - level_started","383","1809","1809","0.0002","1809","1"
"A - level_started","345","2293","2293","0.0003","2293","1"
"A - level_started","468","1037","1037","0.0001","1036","1"
"A - level_started","445","1182","1182","0.0001","1182","1"
"A - level_started","505","867","867","0.0001","867","1"
"A - level_started","327","2647","2647","0.0003","2647","1"
"A - level_started","386","1742","1742","0.0002","1742","1"
"A - level_started","442","1194","1194","0.0001","1194","1"
"A - level_started","709","390","390","0","390","1"
"A - level_started","621","488","488","0.0001","488","1"
"A - level_started","396","1626","1626","0.0002","1626","1"
"A - level_started","431","1307","1307","0.0002","1307","1"
"A - level_started","585","593","593","0.0001","593","1"
"A - level_started","677","440","440","0.0001","440","1"
"A - level_started","690","412","412","0","412","1"
"A - level_started","748","304","304","0","304","1"
"A - level_started","569","686","686","0.0001","686","1"
"A - level_started","542","715","715","0.0001","714","1"
"A - level_started","594","557","557","0.0001","556","1"
"A - level_started","635","477","477","0.0001","477","1"
"A - level_started","645","459","459","0.0001","459","1"
"A - level_started","661","439","439","0.0001","439","1"
"A - level_started","716","376","376","0","376","1"
"A - level_started","599","558","558","0.0001","558","1"
"A - level_started","551","722","722","0.0001","722","1"
"A - level_started","715","391","391","0","391","1"
"A - level_started","633","477","477","0.0001","477","1"
"A - level_started","668","425","425","0.0001","425","1"
"A - level_started","121","17893","17893","0.0021","17891","1"
"A - level_started","728","338","338","0","338","1"
"A - level_started","39","62076","62076","0.0073","62075","1"
"A - level_started","597","580","580","0.0001","580","1"
"A - level_started","112","19810","19810","0.0023","19808","1"
"A - level_started","504","873","873","0.0001","873","1"
"A - level_started","267","4302","4302","0.0005","4302","1"
"A - level_started","424","1373","1373","0.0002","1373","1"
"A - level_started","754","292","292","0","292","1"
"A - level_started","646","454","454","0.0001","454","1"
"A - level_started","124","17332","17332","0.0021","17331","1"
"A - level_started","324","2640","2640","0.0003","2639","1"
"A - level_started","629","517","517","0.0001","517","1"
"A - level_started","742","318","318","0","318","1"
"A - level_started","459","1151","1151","0.0001","1151","1"
"A - level_started","697","411","411","0","410","1"
"A - level_started","441","1199","1199","0.0001","1198","1"
"A - level_started","268","4089","4089","0.0005","4089","1"
"A - level_started","436","1252","1252","0.0001","1251","1"
"A - level_started","199","7905","7905","0.0009","7903","1"
"A - level_started","417","1452","1452","0.0002","1452","1"
"A - level_started","300","3104","3104","0.0004","3103","1"
"A - level_started","38","62672","62672","0.0074","62668","1"
"A - level_started","59","42655","42655","0.005","42651","1"
"A - level_started","756","290","290","0","290","1"
"A - level_started","479","987","987","0.0001","987","1"
"A - level_started","602","567","567","0.0001","567","1"
"A - level_started","295","3213","3213","0.0004","3212","1"
"A - level_started","746","309","309","0","309","1"
"A - level_started","298","3143","3143","0.0004","3142","1"
"A - level_started","539","716","716","0.0001","716","1"
"A - level_started","44","57020","57020","0.0068000000000000005","57015","1"
"A - level_started","636","471","471","0.0001","471","1"
"A - level_started","16","113318","113318","0.0134","113314","1"
"A - level_started","593","555","555","0.0001","555","1"
"A - level_started","492","930","930","0.0001","930","1"
"A - level_started","60","42007","42007","0.005","42003","1"
"A - level_started","305","3123","3123","0.0004","3120","1"
